Time,Total Power(uAh),,GPS time(ms),GPS Power(uAh),Sensors Power(uAh),,CPU-total time(ms),CPU-foreground time(ms),CPU-wakeup time(ms),CPU Power(uAh),,Net In(Byte),Net Out(Byte),TCP Power(uAh),,WiFi-On time(ms),WiFi-on Power(uAh),WiFi-scan time(ms),WiFi-scan Power(uAh)
'00:42:19.971,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:42:21.014,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:21.995,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:22.970,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:24.056,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:25.014,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:26.094,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:26.994,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:27.969,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:28.979,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:30.005,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:31.021,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:31.976,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:33.019,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:42:34.066,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:35.015,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:36.007,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:36.989,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:37.996,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:39.063,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:42:40.031,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:42:40.982,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:42:41.975,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:42.986,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:44.025,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:45.001,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:45.994,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:42:47.046,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:42:48.012,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:48.974,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:49.986,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:51.008,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:52.002,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:52.987,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:54.050,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:42:55.003,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:42:56.008,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:42:56.995,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:58.024,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:42:58.996,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:00.018,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:43:00.986,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:02.023,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:03.045,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:04.022,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:04.988,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:06.007,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:07.003,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:08.060,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:09.018,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:10.082,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:43:11.021,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:43:12.014,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:43:13.008,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:43:14.024,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'00:43:15.022,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:16.014,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:17.027,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:18.070,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:19.041,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:20.049,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:21.009,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:22.052,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:22.983,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:24.005,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:25.005,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:26.086,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:27.012,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:28.081,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:29.012,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:30.028,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:30.995,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:32.042,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:33.006,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:34.016,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:35.014,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
'00:43:35.999,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0,0,-0.00,,0.00,0.00,0.00,0.00
