Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'02:53:45.991,-1.0,7787,-1,463856,37440,16491448,1640732,,-1.0,-1.0,2152,2610,11864,824,894,1420,1040,4283,2732,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:53:47.121,25.99119,24620,-1,489420,61500,16492952,1641265,,7.048458,18.942732,5000,5335,11124,1484,1523,1104,2340,17762,3032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:53:48.110,37.755104,38611,-1,507368,79188,16499761,1645537,,8.163265,29.591837,5128,5451,11100,4044,4071,948,8128,29089,3052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:53:49.056,29.100529,45066,-1,514524,84260,16502563,1649829,,6.878307,22.222221,5216,5539,11088,6188,6215,944,9880,33312,3108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:53:50.202,30.434782,48110,-1,509160,87904,16502969,1650279,,2.6086957,27.826086,5492,5797,11040,7620,7645,936,10180,34668,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:53:51.062,18.023256,47918,-1,509168,87916,16503620,1651267,,0.5813953,17.44186,5496,5808,11040,7628,7654,936,10180,34456,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:53:52.090,20.197044,50963,-1,509332,91200,16503620,1651267,,5.91133,14.285714,5584,5895,11012,7796,7821,932,10212,37247,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:53:53.070,31.313131,52555,-1,512112,93076,16503620,1651267,,5.050505,26.262627,6524,6829,10848,8480,8506,928,10292,37220,3220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:53:54.105,8.653846,50295,-1,512112,90812,16503620,1651267,,0.96153843,7.6923075,6540,6845,10840,8480,8506,928,10396,34944,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:53:55.085,11.734694,50325,-1,512112,90852,16503620,1651267,,1.5306122,10.204082,6556,6861,10840,8484,8510,928,10468,34954,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
