Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'22:42:52.315,-1.0,50493,-1,505788,90432,39203,30847,,-1.0,-1.0,4912,5179,11044,7236,7258,932,11720,38056,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'22:42:53.296,1.0152284,50482,-1,505788,90432,39203,30847,,0.0,1.0152284,4912,5179,11044,7236,7258,932,11720,38045,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'22:42:54.290,2.020202,50492,-1,505788,90432,39203,30847,,0.5050505,1.5151515,4912,5179,11044,7236,7258,932,11720,38055,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'22:42:55.303,0.9852217,50492,-1,505788,90432,39203,30847,,0.0,0.9852217,4912,5179,11044,7236,7258,932,11720,38055,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'22:42:56.266,1.5625,50492,-1,505788,90432,39203,30847,,0.0,1.5625,4912,5179,11044,7236,7258,932,11720,38055,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'22:42:57.254,1.5075377,50492,-1,505788,90432,39203,30847,,0.0,1.5075377,4912,5179,11044,7236,7258,932,11720,38055,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'22:42:58.278,1.4634147,50492,-1,505788,90432,39203,30847,,0.0,1.4634147,4912,5179,11044,7236,7258,932,11720,38055,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'22:42:59.280,1.0050251,50496,-1,505788,90436,39203,30847,,0.5025126,0.5025126,4916,5183,11044,7236,7258,932,11720,38055,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'22:43:00.286,1.980198,50496,-1,505788,90436,39203,30847,,0.4950495,1.4851485,4916,5183,11044,7236,7258,932,11720,38055,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'22:43:01.295,0.990099,50496,-1,505788,90436,39203,30847,,0.0,0.990099,4916,5183,11044,7236,7258,932,11720,38055,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
