Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'02:31:26.760,-1.0,36856,-1,505736,72652,16453169,1610382,,-1.0,-1.0,4960,5274,11060,7008,7034,940,10668,24548,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:27.779,0.0,36856,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24548,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:28.788,0.0,36856,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24548,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:29.782,0.0,36856,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24548,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:30.786,0.0,36863,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24555,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:31.766,0.0,36863,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24555,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:32.777,0.0,36863,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24555,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:33.785,0.0,36863,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24555,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:34.789,0.0,36863,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24555,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:35.794,0.0,36856,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24548,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:36.794,0.0,36856,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24548,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:37.788,0.0,36863,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24555,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:38.796,0.0,36863,-1,505736,72652,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10668,24555,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:39.784,0.0,36827,-1,502616,72616,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10632,24519,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:40.784,0.0,36826,-1,502616,72616,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10632,24518,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:41.790,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:42.786,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:43.806,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:44.783,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:45.787,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:46.793,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:47.791,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:48.839,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:49.800,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:50.793,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:51.791,0.0,36802,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24494,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:52.794,0.0,36782,-1,500536,72592,16453169,1610382,,0.0,0.0,4960,5283,11060,7008,7035,940,10608,24464,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:53.804,0.0,36768,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5283,11060,7008,7035,940,10608,24450,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:54.820,0.0,36768,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5283,11060,7008,7035,940,10608,24450,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:55.800,0.0,36768,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5283,11060,7008,7035,940,10608,24450,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:56.789,0.0,36768,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5283,11060,7008,7035,940,10608,24450,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:57.814,0.0,36743,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24435,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:58.847,0.0,36743,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24435,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:31:59.790,0.0,36743,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5274,11060,7008,7034,940,10608,24435,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:32:00.794,0.0,36764,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5283,11060,7008,7035,940,10608,24446,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:32:01.783,0.0,36764,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5283,11060,7008,7035,940,10608,24446,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:32:02.807,0.0,36764,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5283,11060,7008,7035,940,10608,24446,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:32:03.793,0.0,36764,-1,500536,72592,16453214,1610615,,0.0,0.0,4960,5283,11060,7008,7035,940,10608,24446,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
