Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'02:13:35.385,-1.0,8039,-1,467012,38360,14398189,1372729,,-1.0,-1.0,2020,2468,11852,820,896,1424,1084,4675,2744,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:36.390,28.85572,20518,-1,488208,53464,14399677,1373071,,5.970149,22.885572,4876,5214,11184,1496,1538,1092,1660,13766,2740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:37.479,36.69725,39434,-1,506696,78716,14406560,1377343,,10.091743,26.605505,5028,5353,11136,4176,4203,940,8372,29878,3048,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:38.466,36.868687,45696,-1,515124,85232,14409905,1380461,,4.5454545,32.32323,5108,5433,11132,5812,5839,936,10612,34424,3136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:39.427,36.458332,48548,-1,509368,88424,14410330,1380911,,1.5625,34.895832,5400,5704,11108,7136,7161,932,10816,35683,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:40.567,12.719298,48396,-1,509372,88432,14410981,1381903,,1.3157895,11.403509,5404,5708,11108,7136,7161,932,10816,35527,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:41.441,10.857143,51647,-1,509560,91980,14410981,1381903,,1.1428572,9.714286,5480,5793,11080,7320,7346,932,10844,38508,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:42.549,17.727274,53099,-1,512344,93752,14410981,1381903,,3.1818182,14.545455,6268,6577,11000,8012,8038,928,10920,38484,3220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:43.458,4.371585,50840,-1,512344,91492,14410981,1381903,,1.0928962,3.2786884,6288,6597,10992,8012,8038,928,10968,36205,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:44.534,6.0465117,50875,-1,512324,91536,14410981,1381903,,0.0,6.0465117,6308,6617,10992,8016,8042,928,11092,36216,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:45.578,14.903847,54543,-1,513900,95268,14411589,1382466,,3.3653846,11.538462,6328,6637,10992,8220,8246,928,12468,39660,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:46.622,11.4832535,58898,-1,514940,100536,14411589,1382466,,1.9138756,9.569378,6652,6961,10992,8220,8246,928,12484,43691,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:47.739,16.071428,56321,-1,517416,97676,14412212,1383002,,3.5714285,12.5,7224,7533,10980,8420,8446,928,12376,40342,3372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:48.605,23.563217,58538,-1,517780,100468,14412212,1383810,,4.0229883,19.54023,8380,8689,10980,8792,8818,928,12428,41031,3388,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:49.449,18.452381,59388,-1,517888,100776,14415192,1383810,,2.9761906,15.476191,8648,8956,10952,9004,9030,924,12660,41402,3380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:50.656,19.665272,60238,-1,519624,102724,14415800,1384373,,3.3472803,16.317991,8664,8972,10952,9920,9946,924,12968,41320,3540,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:51.629,18.686869,62568,-1,519836,104708,14415800,1384373,,2.5252526,16.161615,8664,8972,10952,10728,10754,924,12944,42842,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:52.469,13.939394,63275,-1,519892,104844,14416262,1384863,,0.6060606,13.333333,8664,8981,10952,10816,10842,924,12952,43452,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:53.511,1.4218009,63279,-1,519892,104848,14416262,1384863,,0.47393364,0.9478673,8668,8985,10952,10816,10842,924,12952,43452,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:54.519,2.5,62055,-1,519836,103624,14416262,1384863,,0.0,2.5,7496,7813,10952,10764,10790,924,12952,43452,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:55.535,1.9704434,62055,-1,519836,103624,14416262,1384863,,0.49261084,1.4778326,7496,7813,10952,10764,10790,924,12952,43452,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:56.528,33.16583,62535,-1,521004,103660,14416885,1385399,,3.0150754,30.150753,8604,8921,10940,10876,10902,920,12924,42712,3596,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'02:13:57.518,38.071064,62071,-1,521100,103872,14416885,1385399,,3.0456853,35.02538,9188,9495,10888,10916,10942,920,12748,41634,3596,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
