Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'23:22:59.521,-1.0,48943,-1,505380,88636,6065672,310998,,-1.0,-1.0,4824,5123,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:00.525,1.4925373,48937,-1,505380,88636,6065672,310998,,0.0,1.4925373,4824,5123,11112,7308,7332,928,11332,36482,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:01.533,1.4925373,48947,-1,505380,88640,6065672,310998,,0.0,1.4925373,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:02.522,1.010101,48947,-1,505380,88640,6065672,310998,,0.0,1.010101,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:03.549,1.4634147,48947,-1,505380,88640,6065672,310998,,0.0,1.4634147,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:04.572,0.9756098,48947,-1,505380,88640,6065672,310998,,0.4878049,0.4878049,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:05.531,1.5706806,48947,-1,505380,88640,6065672,310998,,0.0,1.5706806,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:06.531,1.4851485,48947,-1,505380,88640,6065672,310998,,0.0,1.4851485,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:07.537,0.99502486,48947,-1,505380,88640,6065672,310998,,0.49751243,0.49751243,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:08.517,1.5384616,48947,-1,505380,88640,6065672,310998,,0.0,1.5384616,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:09.525,1.4925373,48947,-1,505380,88640,6065672,310998,,0.0,1.4925373,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:10.535,1.4925373,48947,-1,505380,88640,6065672,310998,,0.49751243,0.99502486,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:11.537,1.4851485,48947,-1,505380,88640,6065672,310998,,0.0,1.4851485,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:12.521,1.5228426,48947,-1,505380,88640,6065672,310998,,0.0,1.5228426,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:13.530,0.99502486,48947,-1,505380,88640,6065672,310998,,0.0,0.99502486,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:14.542,0.98039216,48947,-1,505380,88640,6065672,310998,,0.0,0.98039216,4828,5127,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:15.534,1.5306122,48955,-1,505380,88648,6065672,310998,,0.0,1.5306122,4836,5135,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:16.537,1.4778326,48959,-1,505380,88652,6065672,310998,,0.49261084,0.9852217,4840,5139,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:17.547,0.99502486,48967,-1,505380,88660,6065672,310998,,0.0,0.99502486,4848,5147,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:23:18.549,1.5,48971,-1,505380,88664,6065672,310998,,0.0,1.5,4852,5151,11112,7308,7332,928,11332,36488,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
