Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'03:34:06.514,-1.0,8280,-1,464896,38120,18601441,1912378,,-1.0,-1.0,2592,2939,11652,808,874,1436,1112,4467,2692,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'03:34:07.685,25.751074,27690,-1,490372,65436,18602967,1912911,,5.579399,20.171675,4996,5323,11132,1604,1638,1056,3064,20729,3052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'03:34:08.614,38.37838,40840,-1,509992,80308,18609776,1917183,,12.432432,25.945946,5132,5449,11100,4828,4854,940,8844,30537,3064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'03:34:09.596,29.441624,44528,-1,514528,83708,18613121,1920309,,3.5532994,25.888325,5204,5521,11100,6076,6102,940,10132,32905,3152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'03:34:10.574,29.949238,47272,-1,511856,86608,18613546,1920759,,2.5380712,27.411167,5372,5689,11080,7160,7186,936,10232,34397,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'03:34:11.631,16.267942,47050,-1,511856,86780,18613840,1921337,,0.4784689,15.789474,5380,5686,11080,7160,7185,936,10232,34179,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'03:34:12.584,16.666666,50089,-1,508940,90056,18614197,1921749,,3.6458333,13.020833,5612,5928,11044,7376,7402,932,10240,36759,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'03:34:13.592,27.722773,51482,-1,511704,91748,18614197,1921749,,5.940594,21.782179,6368,6678,10932,8040,8066,928,10320,36738,3220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'03:34:14.658,11.848341,49226,-1,511704,89488,18614197,1921749,,1.8957345,9.952606,6388,6698,10924,8040,8066,928,10480,34462,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'03:34:15.583,9.625669,49260,-1,511700,89532,18614197,1921749,,0.53475934,9.090909,6404,6714,10924,8048,8074,928,10496,34472,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
