Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'00:12:53.320,-1.0,8219,-1,467000,38396,8139052,569208,,-1.0,-1.0,2160,2590,11848,876,935,1368,1120,4694,2716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:12:54.276,26.70157,20508,-1,482808,52592,8140556,569553,,7.329843,19.371727,4932,5254,11188,1528,1558,1020,1664,13696,2740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:12:55.357,28.372093,36302,-1,506220,74956,8147365,573825,,10.232558,18.139534,5056,5365,11148,4120,4145,936,7144,26792,3052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:12:56.330,32.82051,41250,-1,513884,80360,8150710,576975,,5.6410255,27.179487,5160,5469,11136,5692,5717,932,8712,30064,3108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:12:57.423,31.797235,44281,-1,511604,84148,8151116,577425,,3.2258065,28.571428,5476,5765,11120,7072,7096,928,9056,31420,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:12:58.401,19.289341,44397,-1,508484,84144,8151411,578431,,0.5076142,18.781727,5716,6005,11112,7072,7096,928,9032,31296,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:12:59.307,10.928963,47108,-1,508660,87428,8151411,578431,,2.1857924,8.74317,5580,5877,11084,7240,7264,928,9064,33967,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:00.464,17.748917,47564,-1,511444,89172,8151411,578431,,4.3290043,13.419913,6492,6787,11036,7932,7956,924,9128,32821,3200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:01.323,3.5502958,47065,-1,511444,87692,8151763,578431,,1.183432,2.366864,6372,6663,10956,7932,7956,924,9156,32446,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:02.393,8.372093,46378,-1,511496,87000,8151763,578431,,1.3953488,6.976744,6392,6683,10956,7984,8008,924,9320,31687,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:03.536,18.695652,53957,-1,515024,95716,8152371,578994,,3.9130435,14.782609,6400,6691,10956,8640,8664,924,11872,38602,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:04.549,12.437811,55182,-1,516160,96352,8152376,578994,,1.4925373,10.945273,6532,6823,10956,8988,9012,924,11888,39347,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:05.682,17.180618,58574,-1,517840,100412,8152999,579530,,5.7268724,11.453745,7100,7391,10948,9300,9324,924,12056,41859,3380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:06.376,16.666666,58722,-1,518928,99816,8152999,579530,,3.6231885,13.043478,8004,8295,10944,9640,9664,924,12048,40763,3372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:07.351,12.244898,59292,-1,518976,100644,8154652,580338,,1.5306122,10.714286,8208,8499,10944,9692,9716,924,12068,41077,3504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:08.613,12.252964,59683,-1,519088,101372,8155987,580338,,2.3715415,9.881423,8748,9039,10944,9760,9784,924,12056,40860,3372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:09.556,15.425531,61415,-1,519512,103204,8155987,580338,,4.787234,10.638298,8784,9076,10944,9904,9928,924,12064,42411,3388,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:10.655,21.818182,62302,-1,521096,104252,8157057,581391,,4.5454545,17.272728,8784,9078,10944,11500,11524,920,12372,41700,3600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:11.376,33.333332,63419,-1,521184,105080,8157057,581391,,1.3888888,31.944445,8788,9090,10944,11704,11729,920,12376,42600,3600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:12.406,18.357487,63419,-1,521184,105080,8157057,581391,,0.4830918,17.874395,8788,9090,10944,11704,11729,920,12376,42600,3600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:13.398,3.0456853,62203,-1,521148,103864,8157057,581391,,0.0,3.0456853,7604,7906,10944,11672,11697,920,12376,42600,3600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:14.420,1.4778326,62215,-1,521148,103876,8157057,581391,,0.0,1.4778326,7616,7918,10944,11672,11697,920,12376,42600,3600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:15.555,12.389381,61821,-1,522300,104544,8157680,581927,,2.2123895,10.176991,7732,8026,10932,11688,11712,916,12388,42083,3600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:16.591,38.72549,62725,-1,522184,104816,8157680,581927,,2.4509804,36.27451,8868,9162,10932,11808,11832,916,12156,41731,3580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:17.483,45.555553,62358,-1,522412,104140,8157680,581927,,1.1111112,44.444443,9188,9482,10916,11844,11868,916,12396,41008,3616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:18.396,38.043476,62582,-1,522420,104332,8157680,581927,,1.0869565,36.95652,9196,9489,10912,11868,11892,916,12396,41201,3616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:19.394,32.160805,62002,-1,522292,103320,8157680,581927,,2.0100503,30.150753,9212,9505,10912,11868,11892,916,12248,40605,3616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:20.396,42.288555,62551,-1,522292,104320,8158287,582463,,3.9800994,38.308456,9240,9532,10900,11892,11916,916,12288,41103,3620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:21.394,44.221107,62835,-1,522520,104600,8160777,583271,,3.0150754,41.20603,9256,9548,10900,11908,11932,916,12520,41355,3620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:22.395,44.5,62468,-1,523384,104736,8161385,583834,,3.5,41.0,9264,9556,10900,12428,12452,916,12828,40460,3720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:23.415,44.827587,62704,-1,523348,105288,8161385,583834,,1.4778326,43.349754,9268,9560,10900,13588,13612,916,12028,39532,3956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:24.428,29.207922,62708,-1,523348,105292,8161385,583834,,0.4950495,28.712872,9272,9564,10900,13588,13612,916,12028,39532,3956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:25.471,2.8846154,61540,-1,523348,104124,8161385,583834,,0.48076922,2.4038463,8132,8424,10900,13560,13584,916,12028,39532,3956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:26.422,1.0471205,61540,-1,521268,104124,8161385,583834,,0.0,1.0471205,8132,8424,10900,13576,13600,916,12012,39516,3956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:27.435,1.4778326,61540,-1,521268,104124,8161385,583834,,0.49261084,0.9852217,8132,8424,10900,13576,13600,916,12012,39516,3956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:28.477,29.807692,61162,-1,521336,103484,8161992,584370,,2.8846154,26.923077,8184,8476,10900,13636,13660,916,11984,39026,3956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:29.448,38.14433,60688,-1,521144,103100,8161992,584370,,2.0618556,36.082474,8764,9056,10900,13688,13712,916,11812,37920,3956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:13:30.438,42.929295,61150,-1,521372,103548,8161992,584370,,1.5151515,41.414143,8996,9288,10876,13688,13712,916,12040,38150,3956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
