Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'00:30:50.781,-1.0,36289,-1,507240,72108,10185824,804736,,-1.0,-1.0,4940,5252,11064,7132,7158,932,10016,23879,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:30:51.786,0.0,36289,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5252,11064,7132,7158,932,10016,23879,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:30:52.768,0.0,36296,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5252,11064,7132,7158,932,10016,23886,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:30:53.770,0.0,36296,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5252,11064,7132,7158,932,10016,23886,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:30:54.783,0.0,36296,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5252,11064,7132,7158,932,10016,23886,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:30:55.789,0.0,36296,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5252,11064,7132,7158,932,10016,23886,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:30:56.784,0.0,36296,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5252,11064,7132,7158,932,10016,23886,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:30:57.773,0.0,36296,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5252,11064,7132,7158,932,10016,23886,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:30:58.787,0.0,36296,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5252,11064,7132,7158,932,10016,23886,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:30:59.839,0.0,36289,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5252,11064,7132,7158,932,10016,23879,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:31:00.789,0.0,36314,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5261,11064,7132,7159,932,10016,23894,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:31:01.795,0.0,36321,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5261,11064,7132,7159,932,10016,23901,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:31:02.785,0.0,36321,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5261,11064,7132,7159,932,10016,23901,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:31:03.800,0.0,36321,-1,507240,72108,10185824,804736,,0.0,0.0,4940,5261,11064,7132,7159,932,10016,23901,2908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
