Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'23:33:48.371,-1.0,3114,-1,459724,31624,6079673,321733,,-1.0,-1.0,888,1343,11936,620,737,1612,460,1034,3004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:49.398,27.450981,20627,-1,481756,52656,6081177,322266,,9.313725,18.137255,5012,5349,11180,1516,1550,1020,1656,13728,2740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:50.444,29.186604,36852,-1,503260,74392,6087538,326031,,10.047847,19.138756,5112,5436,11144,4072,4099,940,7112,27317,3052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:51.509,36.792454,43817,-1,514052,83008,6088707,327566,,7.075472,29.716982,5240,5564,11128,5556,5583,936,10000,32670,3108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:52.501,30.653267,46465,-1,511740,86208,6088707,327566,,2.5125628,28.140703,5260,5564,11124,6868,6893,936,10336,34008,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:53.563,25.238096,46478,-1,511740,86220,6088707,327566,,1.4285715,23.809525,5272,5576,11124,6868,6893,936,10336,34009,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:54.521,26.28866,49884,-1,508956,90060,6091289,329607,,7.731959,18.556702,5568,5881,11088,7144,7170,932,10348,36833,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:55.489,15.104166,47111,-1,511380,88268,6091583,330603,,4.1666665,10.9375,5672,5983,11032,7220,7246,928,10396,33882,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:56.485,21.025642,49602,-1,511720,90200,6091940,330603,,4.6153846,16.410257,6304,6611,10944,7872,7898,924,10440,35093,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:57.514,14.285714,48865,-1,511728,89460,6091940,330603,,3.8095238,10.476191,6324,6631,10944,7872,7898,924,10604,34336,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:58.563,20.0,52118,-1,513568,93164,6092548,331166,,4.285714,15.714286,6332,6639,10944,7888,7914,924,12288,37565,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:33:59.507,26.06383,54555,-1,514092,95244,6092548,331166,,3.7234042,22.340425,6332,6639,10944,8112,8138,924,12764,39778,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:34:00.505,28.0,57534,-1,515488,98116,6092548,331166,,6.0,22.0,6924,7231,10936,8404,8430,924,12880,41873,3368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:34:01.503,36.363636,59968,-1,517712,100904,6093171,331702,,3.030303,33.333332,8048,8354,10896,8672,8698,924,12728,42916,3372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:34:02.529,31.067963,58810,-1,517972,100028,6093171,332510,,4.3689322,26.69903,8064,8370,10896,8752,8778,924,12964,41662,3512,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:34:03.536,20.895523,59042,-1,518240,100400,6096601,332510,,2.4875622,18.40796,8112,8418,10896,8968,8994,924,12960,41630,3380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
