Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'23:11:29.335,-1.0,35911,-1,505712,71636,6038625,290263,,-1.0,-1.0,4928,5234,11092,6808,6833,932,9864,23844,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:30.315,0.0,35911,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23844,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:31.324,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:32.320,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:33.346,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:34.323,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:35.326,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:36.327,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:37.328,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:38.326,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:39.322,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:40.315,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:41.328,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:42.327,0.0,35918,-1,505712,71636,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9864,23851,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:43.327,0.0,35882,-1,502592,71600,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9828,23815,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:44.329,0.5025126,35858,-1,500512,71576,6038625,290263,,0.0,0.5025126,4928,5234,11092,6808,6833,932,9804,23791,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:45.327,0.0,35851,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23784,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:46.343,0.0,35851,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23784,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:47.327,0.0,35858,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23791,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:48.327,0.0,35858,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23791,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:49.339,0.0,35858,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23791,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:50.333,0.0,35858,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23791,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:51.331,0.0,35858,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23791,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:52.340,0.0,35858,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23791,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:53.327,0.0,35858,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23791,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:54.334,0.0,35858,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23791,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:55.355,0.0,35813,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23746,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:56.336,0.0,35813,-1,500512,71576,6038625,290263,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23746,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:57.340,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:58.333,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:11:59.330,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:00.342,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:01.340,0.0,35792,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23725,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:02.329,0.0,35792,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23725,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:03.328,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:04.338,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:05.347,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:06.355,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:07.340,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:08.338,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:09.324,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:10.340,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:11.357,0.0,35809,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23742,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:12.342,0.0,35809,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23742,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:13.370,0.0,35809,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23742,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:14.331,0.0,35809,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23742,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:15.343,0.0,35809,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23742,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:16.345,0.0,35809,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23742,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:17.355,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:18.351,0.0,35799,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23732,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:19.348,0.0,35809,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23742,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'23:12:20.337,0.0,35809,-1,500512,71576,6038670,290496,,0.0,0.0,4928,5234,11092,6808,6833,932,9804,23742,2904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
