Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'00:53:10.624,-1.0,21409,-1,488216,54692,10226164,835812,,-1.0,-1.0,4956,5281,11168,1524,1557,1036,1908,14571,2756,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:11.726,35.61644,38742,-1,506404,78204,10232973,840084,,10.045662,25.570776,5100,5414,11128,4000,4026,936,8132,29302,3052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:12.692,34.895836,44346,-1,514128,83576,10236526,844388,,6.25,28.645834,5192,5506,11116,5592,5618,932,10080,33222,3108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:13.740,32.38095,47373,-1,508716,87168,10236932,844838,,4.7619047,27.619047,5468,5772,11084,6872,6897,928,10384,34704,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:14.756,12.745098,47294,-1,508716,87172,10237227,845422,,0.98039216,11.764706,5472,5778,11084,6872,6896,928,10384,34620,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:15.686,18.27957,50159,-1,508904,90472,10237272,846067,,4.83871,13.44086,5556,5869,11056,7056,7082,928,10416,37208,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:16.693,28.571428,51709,-1,511744,92324,10237629,846067,,3.4482758,25.123152,6384,6691,10940,7804,7830,924,10496,37188,3220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:17.723,9.313725,49449,-1,511744,90060,10237629,846067,,2.4509804,6.8627453,6400,6707,10932,7804,7830,924,10608,34912,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:18.698,9.74359,49463,-1,511720,90092,10237629,846067,,1.0256411,8.717949,6416,6723,10932,7804,7830,924,10672,34910,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:19.753,30.331753,54195,-1,513856,95300,10238237,846630,,6.6350713,23.696682,6424,6731,10932,7980,8006,924,12636,39458,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:20.746,27.272728,54750,-1,514896,96068,10238237,846630,,1.5151515,25.757576,6520,6827,10932,7980,8006,924,12648,39917,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:21.841,26.818182,58001,-1,517444,97928,10238860,847166,,6.3636365,20.454546,7276,7583,10920,8240,8266,924,12760,42152,3368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:22.740,29.608938,60384,-1,517724,100160,10238860,847166,,5.586592,24.022346,8568,8875,10920,8624,8650,924,12824,42859,3372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:23.717,32.820515,59459,-1,518928,100864,10241848,847974,,5.1282053,27.692308,8728,9035,10912,8800,8826,924,12836,41598,3380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:24.755,30.76923,60912,-1,520560,103108,10242456,848537,,5.769231,25.0,8744,9051,10912,9660,9686,924,13308,42175,3544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:25.750,33.838383,62827,-1,520820,104924,10242456,848537,,4.040404,29.79798,8744,9051,10912,10476,10502,924,13104,43274,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:26.754,23.267328,63542,-1,520896,105088,10242918,849027,,0.4950495,22.772278,8748,9064,10912,10556,10582,920,13112,43896,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:27.725,1.0416666,63542,-1,520896,105088,10242918,849027,,0.0,1.0416666,8748,9064,10912,10556,10582,920,13112,43896,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:28.743,1.9704434,62389,-1,520840,103952,10242918,849027,,0.49261084,1.4778326,7668,7984,10912,10500,10526,920,13112,43879,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:29.742,1.9900497,62389,-1,520840,103952,10242918,849027,,0.99502486,0.99502486,7668,7984,10912,10500,10526,920,13112,43879,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:30.765,28.431374,62771,-1,522000,103888,10243541,849563,,3.4313726,25.0,8684,9000,10900,10608,10634,916,13088,43137,3588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:31.762,34.0,62213,-1,521812,103748,10243541,849563,,2.0,32.0,9248,9554,10872,10616,10641,916,12912,42018,3588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:32.719,45.789474,62517,-1,522040,104092,10243541,849563,,2.1052632,43.68421,9264,9570,10868,10624,10649,916,13144,42298,3588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:33.755,33.97129,62188,-1,522080,103404,10243541,849563,,1.9138756,32.057415,9284,9590,10868,10632,10657,916,13124,41941,3580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:34.828,40.186916,63885,-1,521952,106100,10244148,850099,,3.271028,36.91589,9300,9606,10868,10636,10661,916,13040,43618,3592,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:35.798,45.595856,62985,-1,522196,104648,10246639,850907,,1.0362694,44.559586,9348,9653,10832,10684,10709,916,13272,42623,3648,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:36.699,40.88398,63327,-1,522492,105296,10246639,850907,,2.2099447,38.674034,9356,9661,10832,10708,10733,916,13280,42933,3592,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:37.781,42.32558,61523,-1,523420,104404,10247247,851470,,5.116279,37.2093,9356,9661,10832,11916,11941,916,13448,39921,3976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:38.812,39.51219,62939,-1,523540,105440,10247247,851470,,1.9512196,37.560974,9360,9665,10832,12272,12297,916,13452,40977,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:39.762,22.395834,62939,-1,523540,105440,10247247,851470,,0.5208333,21.875,9360,9665,10832,12272,12297,916,13452,40977,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:40.752,2.5380712,61667,-1,523540,104168,10247247,851470,,0.0,2.5380712,8116,8421,10832,12244,12269,916,13452,40977,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:41.749,2.0,61667,-1,523540,104168,10247247,851470,,0.5,1.5,8116,8421,10832,12244,12269,916,13452,40977,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:42.853,10.0,61666,-1,521512,104268,10247854,852006,,1.3636364,8.636364,8124,8429,10832,12244,12269,916,13440,40968,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:43.882,35.74879,60827,-1,521312,103232,10247854,852006,,2.415459,33.333332,8504,8809,10832,12348,12373,916,13240,39645,4004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:44.730,44.117645,61238,-1,521560,103572,10247854,852006,,1.7647059,42.35294,8948,9253,10832,12372,12397,916,13456,39588,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:45.757,40.0,61494,-1,521580,103836,10247854,852006,,0.9756098,39.02439,9196,9501,10832,12380,12405,916,13460,39588,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:46.829,34.418606,61118,-1,521604,102952,10247854,852006,,2.7906976,31.627907,9412,9717,10820,12392,12417,916,13436,38984,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'00:53:47.811,40.609135,62732,-1,521400,105056,10248435,852557,,5.0761423,35.532993,9424,9729,10820,12436,12461,916,13248,40542,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
