Time,Total Power(uAh),,GPS time(ms),GPS Power(uAh),Sensors Power(uAh),,CPU-total time(ms),CPU-foreground time(ms),CPU-wakeup time(ms),CPU Power(uAh),,Net In(Byte),Net Out(Byte),TCP Power(uAh),,WiFi-On time(ms),WiFi-on Power(uAh),WiFi-scan time(ms),WiFi-scan Power(uAh)
'13:34:12.389,0.02,,0.00,0.00,0.02,,0.00,0.00,168.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:13.321,0.15,,0.00,0.00,0.15,,0.00,0.00,1095.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:14.355,0.28,,0.00,0.00,0.28,,0.00,0.00,2112.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:15.347,0.41,,0.00,0.00,0.41,,0.00,0.00,3111.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:16.294,0.54,,0.00,0.00,0.54,,0.00,0.00,4077.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:17.306,0.68,,0.00,0.00,0.68,,0.00,0.00,5075.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:18.317,0.81,,0.00,0.00,0.81,,0.00,0.00,6086.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:19.337,0.94,,0.00,0.00,0.94,,0.00,0.00,7073.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:20.300,1.08,,0.00,0.00,1.08,,0.00,0.00,8076.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:21.288,1.21,,0.00,0.00,1.21,,0.00,0.00,9072.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:22.338,1.35,,0.00,0.00,1.35,,0.00,0.00,10096.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:23.343,1.48,,0.00,0.00,1.48,,0.00,0.00,11076.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:24.290,1.61,,0.00,0.00,1.61,,0.00,0.00,12077.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:25.314,1.75,,0.00,0.00,1.75,,0.00,0.00,13104.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:26.307,1.88,,0.00,0.00,1.88,,0.00,0.00,14078.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:27.341,2.01,,0.00,0.00,2.01,,0.00,0.00,15089.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:28.298,2.15,,0.00,0.00,2.15,,0.00,0.00,16091.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:29.301,2.28,,0.00,0.00,2.28,,0.00,0.00,17088.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:30.318,2.41,,0.00,0.00,2.41,,0.00,0.00,18105.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:31.293,2.54,,0.00,0.00,2.54,,0.00,0.00,19071.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:32.296,2.68,,0.00,0.00,2.68,,0.00,0.00,20075.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:33.306,2.81,,0.00,0.00,2.81,,0.00,0.00,21084.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:34.312,2.95,,0.00,0.00,2.95,,0.00,0.00,22090.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:35.297,3.08,,0.00,0.00,3.08,,0.00,0.00,23085.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:36.292,56.33,,0.00,0.00,3.21,,1970.00,0.00,24076.00,53.12,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:37.341,56.47,,0.00,0.00,3.35,,1970.00,0.00,25104.00,53.12,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:38.330,56.60,,0.00,0.00,3.48,,1970.00,0.00,26112.00,53.12,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:39.294,56.73,,0.00,0.00,3.61,,1970.00,0.00,27087.00,53.12,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:40.309,56.87,,0.00,0.00,3.75,,1970.00,0.00,28090.00,53.12,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:41.336,57.00,,0.00,0.00,3.88,,1970.00,0.00,29087.00,53.12,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:42.293,57.13,,0.00,0.00,4.01,,1970.00,0.00,30077.00,53.12,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:43.348,57.27,,0.00,0.00,4.15,,1970.00,0.00,31105.00,53.12,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:44.320,57.40,,0.00,0.00,4.28,,1970.00,0.00,32094.00,53.12,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:34:45.302,57.53,,0.00,0.00,4.41,,1970.00,0.00,33100.00,53.12,,0,0,0.00,,0.00,0.00,0.00,0.00
