Time,Total Power(uAh),,GPS time(ms),GPS Power(uAh),Sensors Power(uAh),,CPU-total time(ms),CPU-foreground time(ms),CPU-wakeup time(ms),CPU Power(uAh),,Net In(Byte),Net Out(Byte),TCP Power(uAh),,WiFi-On time(ms),WiFi-on Power(uAh),WiFi-scan time(ms),WiFi-scan Power(uAh)
'13:18:48.470,0.10,,0.00,0.00,0.10,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:49.525,0.24,,0.00,0.00,0.24,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:50.400,0.36,,0.00,0.00,0.36,,0.00,0.00,131.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:51.411,0.50,,0.00,0.00,0.50,,0.00,0.00,131.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:52.480,0.64,,0.00,0.00,0.64,,0.00,0.00,133.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:53.423,0.77,,0.00,0.00,0.77,,0.00,0.00,242.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:54.387,-0.68,,0.00,0.00,0.90,,0.00,0.00,370.00,-1.57,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:55.363,-0.54,,0.00,0.00,1.03,,0.00,0.00,1370.00,-1.57,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:56.350,-0.41,,0.00,0.00,1.16,,0.00,0.00,2346.00,-1.57,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:57.440,-0.27,,0.00,0.00,1.30,,0.00,0.00,3422.00,-1.57,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:58.427,-0.14,,0.00,0.00,1.44,,0.00,0.00,4419.00,-1.57,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:18:59.371,91.66,,0.00,0.00,1.56,,2980.00,0.00,5366.00,90.09,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:19:00.391,91.79,,0.00,0.00,1.70,,2980.00,0.00,6380.00,90.09,,0,0,0.00,,0.00,0.00,0.00,0.00
