Time,Total Power(uAh),,GPS time(ms),GPS Power(uAh),Sensors Power(uAh),,CPU-total time(ms),CPU-foreground time(ms),CPU-wakeup time(ms),CPU Power(uAh),,Net In(Byte),Net Out(Byte),TCP Power(uAh),,WiFi-On time(ms),WiFi-on Power(uAh),WiFi-scan time(ms),WiFi-scan Power(uAh)
'14:04:04.981,0.03,,0.00,0.00,0.03,,0.00,0.00,197.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:05.903,0.15,,0.00,0.00,0.15,,0.00,0.00,1138.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:06.871,0.28,,0.00,0.00,0.28,,0.00,0.00,2106.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:07.922,0.42,,0.00,0.00,0.42,,0.00,0.00,3123.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:08.888,0.55,,0.00,0.00,0.55,,0.00,0.00,4134.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:09.860,0.68,,0.00,0.00,0.68,,0.00,0.00,5102.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:10.906,0.81,,0.00,0.00,0.81,,0.00,0.00,6101.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:11.890,0.95,,0.00,0.00,0.95,,0.00,0.00,7121.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:12.866,1.08,,0.00,0.00,1.08,,0.00,0.00,8112.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:13.854,1.21,,0.00,0.00,1.21,,0.00,0.00,9097.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:14.856,1.35,,0.00,0.00,1.35,,0.00,0.00,10107.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:15.919,1.48,,0.00,0.00,1.48,,0.00,0.00,11104.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:16.840,1.61,,0.00,0.00,1.61,,0.00,0.00,12093.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:17.861,1.75,,0.00,0.00,1.75,,0.00,0.00,13110.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:18.853,1.88,,0.00,0.00,1.88,,0.00,0.00,14108.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:04:19.907,2.02,,0.00,0.00,2.02,,0.00,0.00,15117.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
