Time,Total Power(uAh),,GPS time(ms),GPS Power(uAh),Sensors Power(uAh),,CPU-total time(ms),CPU-foreground time(ms),CPU-wakeup time(ms),CPU Power(uAh),,Net In(Byte),Net Out(Byte),TCP Power(uAh),,WiFi-On time(ms),WiFi-on Power(uAh),WiFi-scan time(ms),WiFi-scan Power(uAh)
'13:44:51.194,0.09,,0.00,0.00,0.09,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:44:52.227,0.24,,0.00,0.00,0.24,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:44:53.190,0.37,,0.00,0.00,0.37,,0.00,0.00,2.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:44:54.151,0.50,,0.00,0.00,0.50,,0.00,0.00,2.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:44:55.221,0.63,,0.00,0.00,0.63,,0.00,0.00,3.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:44:56.101,0.76,,0.00,0.00,0.76,,0.00,0.00,3.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:44:57.150,-1.53,,0.00,0.00,0.90,,0.00,0.00,555.00,-2.43,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:44:58.173,-1.40,,0.00,0.00,1.03,,0.00,0.00,1558.00,-2.43,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:44:59.140,-1.27,,0.00,0.00,1.16,,0.00,0.00,2538.00,-2.43,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:45:00.152,-1.13,,0.00,0.00,1.30,,0.00,0.00,3555.00,-2.43,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:45:01.123,-1.01,,0.00,0.00,1.43,,0.00,0.00,4526.00,-2.43,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:45:02.140,71.67,,0.00,0.00,1.57,,2340.00,0.00,5546.00,70.10,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:45:03.242,71.80,,0.00,0.00,1.70,,2340.00,0.00,6559.00,70.10,,0,0,0.00,,0.00,0.00,0.00,0.00
