Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'13:44:51.008,-1.0,3360,-1,468508,31224,174992,136709,,-1.0,-1.0,1316,1713,10744,0,0,0,1084,1647,3080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:44:52.101,33.789955,20896,-1,506572,54768,176000,137128,,6.392694,27.39726,9064,9384,9760,0,0,0,5644,11512,2684,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:44:53.091,35.17588,30579,-1,520052,65068,181745,140946,,6.5326633,28.643215,10372,10692,9752,0,0,0,13936,19887,2648,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:44:54.056,43.386246,38760,-1,534484,73956,185789,144328,,4.7619047,38.62434,11112,11432,9728,0,0,0,20608,27328,2632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:44:55.059,48.186527,42602,-1,533500,78408,186195,144786,,6.2176166,41.96891,11600,11875,9548,0,0,0,23920,30727,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:44:56.040,34.69388,42356,-1,533500,78416,186490,145798,,1.5306122,33.163265,11608,11883,9548,0,0,0,23920,30473,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:44:57.074,17.156862,43655,-1,533604,79884,186847,145798,,3.9215686,13.235294,11736,12009,9496,0,0,0,24832,31646,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:44:58.082,30.0,45076,-1,536404,81756,186847,145798,,2.5,27.5,11996,12266,9388,0,0,0,25636,32810,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:44:59.062,13.846154,44914,-1,528780,80724,186847,145798,,3.0769231,10.769231,12096,12364,9328,0,0,0,26016,32550,2568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:00.078,15.346535,43777,-1,528720,77596,186847,145798,,3.960396,11.386139,12128,12395,9316,0,0,0,24844,31382,2568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:01.048,32.642487,43739,-1,537512,80272,187455,146371,,5.1813474,27.46114,10248,10515,9316,0,0,0,26116,33224,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:02.070,17.01031,43847,-1,537512,80396,187455,146371,,5.1546392,11.85567,10300,10567,9316,0,0,0,26172,33280,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:03.076,34.69388,46421,-1,539348,83020,187455,146371,,6.632653,28.061224,11256,11523,9280,0,0,0,27536,34898,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:04.065,37.931034,46585,-1,541644,83164,188073,146907,,5.4187193,32.512314,11304,11570,9276,0,0,0,27580,35015,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:05.070,27.272728,46090,-1,541644,82748,191518,147725,,6.5656567,20.707071,11400,11666,9272,0,0,0,26944,34424,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:06.065,33.163265,47576,-1,542644,83972,192126,148298,,5.102041,28.061224,11416,11682,9272,0,0,0,28780,35894,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:07.050,50.26178,50516,-1,539840,86700,192126,148298,,6.2827225,43.979057,11456,11722,9272,0,0,0,31904,38794,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:08.059,42.639595,49776,-1,539876,85972,192588,148798,,0.5076142,42.13198,10772,11038,9272,0,0,0,31844,38738,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:09.063,3.5353534,49804,-1,539876,85988,192588,148798,,2.020202,1.5151515,10792,11058,9272,0,0,0,31852,38746,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:10.088,2.5380712,49816,-1,539876,86000,192588,148798,,1.0152284,1.5228426,10804,11070,9272,0,0,0,31852,38746,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:11.079,2.617801,49824,-1,539876,86008,192588,148798,,0.0,2.617801,10812,11078,9272,0,0,0,31852,38746,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:12.112,32.19512,51748,-1,545240,88284,193206,149334,,2.4390244,29.756098,12204,12470,9268,0,0,0,32072,39278,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:13.055,46.48649,52303,-1,545240,88864,193206,149334,,6.4864864,40.0,12680,12945,9264,0,0,0,32108,39358,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:14.068,52.76382,52730,-1,545860,89328,193206,149334,,3.517588,49.24623,12980,13245,9260,0,0,0,32164,39485,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:15.074,40.0,53631,-1,545860,90248,193206,149334,,4.736842,35.263157,13664,13929,9260,0,0,0,32212,39702,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:16.180,46.846848,53961,-1,545688,90604,193813,149870,,3.1531532,43.693695,14124,14389,9260,0,0,0,32056,39572,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:17.105,52.747253,53981,-1,545912,90616,196304,150688,,6.0439563,46.703297,14136,14401,9260,0,0,0,32048,39580,2564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:18.112,56.435646,54773,-1,554300,91928,196304,150688,,3.4653466,52.9703,14148,14413,9260,0,0,0,32664,40360,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:19.077,55.614975,56731,-1,547376,93380,196912,151261,,3.7433155,51.87166,14152,14417,9260,0,0,0,34588,42314,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:20.082,44.102566,56731,-1,547376,93380,196912,151261,,1.0256411,43.076923,14152,14417,9260,0,0,0,34588,42314,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:21.097,4.455446,54767,-1,547376,91416,196912,151261,,0.4950495,3.960396,12296,12561,9260,0,0,0,34480,42206,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:22.108,2.5641026,54767,-1,547376,91416,196912,151261,,0.0,2.5641026,12296,12561,9260,0,0,0,34480,42206,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:23.094,3.0927835,54767,-1,547376,91416,196912,151261,,0.5154639,2.5773196,12296,12561,9260,0,0,0,34480,42206,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:24.166,13.615024,55031,-1,545416,91744,197519,151797,,4.2253523,9.389671,12344,12609,9260,0,0,0,34696,42422,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:25.103,41.847828,54651,-1,545416,91368,197519,151797,,1.6304348,40.217392,12680,12945,9260,0,0,0,33984,41706,2560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:26.128,49.50495,54339,-1,545416,91052,197519,151797,,4.9504952,44.554455,12852,13117,9260,0,0,0,33496,41222,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:27.083,41.884815,53983,-1,545476,90748,197519,151797,,3.1413612,38.743454,13048,13313,9260,0,0,0,32944,40670,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:28.166,38.497654,54175,-1,545288,90968,197519,152348,,2.8169014,35.68075,13436,13701,9260,0,0,0,32736,40474,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:29.081,53.005466,55529,-1,545520,92184,198100,152348,,3.8251367,49.18033,14488,14753,9260,0,0,0,33028,40776,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:30.103,51.658768,55685,-1,545520,92340,200677,154858,,4.7393365,46.91943,14804,15069,9260,0,0,0,32868,40616,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:31.127,45.771145,54718,-1,553932,90932,201285,155431,,4.9751244,40.79602,14812,15077,9260,0,0,0,31096,39641,2560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:32.071,33.333332,54529,-1,546128,91188,201285,155431,,1.6949153,31.638418,14812,15077,9260,0,0,0,31672,39452,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:33.094,17.948717,54529,-1,546128,91188,201285,155431,,0.0,17.948717,14812,15077,9260,0,0,0,31672,39452,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:34.111,3.030303,54533,-1,546128,91192,201285,155431,,0.5050505,2.5252526,14816,15081,9260,0,0,0,31672,39452,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:35.064,4.347826,52257,-1,546092,88916,201285,155431,,2.173913,2.173913,12796,13061,9260,0,0,0,31416,39196,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:36.090,2.5,52257,-1,546092,88916,201285,155431,,0.0,2.5,12796,13061,9260,0,0,0,31416,39196,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:37.092,31.840796,52426,-1,546092,89088,201866,155982,,2.4875622,29.353233,12876,13141,9260,0,0,0,31504,39285,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:38.081,38.144333,51079,-1,545920,87768,201866,155982,,3.0927835,35.051548,12940,13205,9260,0,0,0,30116,37874,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:45:39.089,34.170856,51311,-1,546092,87996,201866,155982,,2.0100503,32.160805,12944,13209,9260,0,0,0,30344,38102,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
