Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'14:04:04.843,-1.0,40268,-1,531424,76084,5872840,284465,,-1.0,-1.0,8736,9008,9504,0,0,0,24720,31260,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:05.813,18.518518,40239,-1,531424,76084,5872840,284465,,0.52910054,17.989418,8736,9008,9504,0,0,0,24720,31231,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:06.781,37.894737,40243,-1,531424,76088,5872840,284465,,3.6842105,34.210526,8740,9012,9504,0,0,0,24720,31231,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:07.794,42.574257,40243,-1,531424,76088,5872840,284465,,1.4851485,41.089108,8740,9012,9504,0,0,0,24720,31231,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:08.810,12.562814,40271,-1,531424,76088,5872840,284465,,0.0,12.562814,8740,9012,9504,0,0,0,24720,31259,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:09.779,42.211056,40271,-1,531424,76088,5872840,284465,,0.5025126,41.70854,8740,9012,9504,0,0,0,24720,31259,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:10.776,42.71357,40271,-1,531424,76088,5872840,284465,,2.0100503,40.703518,8740,9012,9504,0,0,0,24720,31259,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:11.797,19.900497,40255,-1,529344,76072,5872840,284465,,0.99502486,18.905472,8740,9012,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:12.786,45.876286,40255,-1,529344,76072,5872840,284465,,1.5463917,44.329895,8740,9012,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:13.773,26.020409,40255,-1,529344,76072,5872840,284465,,2.0408163,23.979591,8740,9012,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:14.782,43.781097,40255,-1,529344,76072,5872840,284465,,1.9900497,41.791046,8740,9012,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:15.779,13.131313,40255,-1,529344,76072,5872840,284465,,1.5151515,11.616161,8740,9012,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:16.769,43.00518,40255,-1,529344,76072,5872840,284465,,1.0362694,41.96891,8740,9012,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:17.786,22.38806,40259,-1,529344,76076,5872840,284465,,0.49751243,21.890547,8744,9016,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:18.784,41.116753,40259,-1,529344,76076,5872840,284465,,2.5380712,38.578682,8744,9016,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:19.793,21.938776,40259,-1,529360,76080,5872840,284465,,0.5102041,21.428572,8744,9016,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:20.792,45.408165,40259,-1,529344,76076,5872840,284465,,2.0408163,43.367348,8744,9016,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:21.799,21.0,40259,-1,529344,76076,5872840,284465,,0.5,20.5,8744,9016,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:22.783,43.229168,40259,-1,529344,76076,5872840,284465,,2.6041667,40.625,8744,9016,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:04:23.796,44.607845,40259,-1,529344,76076,5872840,284465,,1.4705882,43.137257,8744,9016,9504,0,0,0,24704,31243,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
