测试时间(s),600
CPU峰值(%),0.5
CPU均值(%),0.0
RSS峰值(KB),66772
RSS均值(KB),66719
接收流量(KB),3.9
发送流量(KB),14.2
CPU耗电(uAh/h),8.3
传感器耗电(uAh/h),480.0
总耗电(uAh/h),488.3

