Time,Total Power(uAh),,GPS time(ms),GPS Power(uAh),Sensors Power(uAh),,CPU-total time(ms),CPU-foreground time(ms),CPU-wakeup time(ms),CPU Power(uAh),,Net In(Byte),Net Out(Byte),TCP Power(uAh),,WiFi-On time(ms),WiFi-on Power(uAh),WiFi-scan time(ms),WiFi-scan Power(uAh)
'13:23:04.006,0.02,,0.00,0.00,0.02,,0.00,0.00,149.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:04.981,0.15,,0.00,0.00,0.15,,0.00,0.00,1110.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:05.951,0.28,,0.00,0.00,0.28,,0.00,0.00,2093.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:07.021,0.42,,0.00,0.00,0.42,,0.00,0.00,3124.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:07.942,0.55,,0.00,0.00,0.55,,0.00,0.00,4091.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:08.966,0.68,,0.00,0.00,0.68,,0.00,0.00,5093.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:09.966,0.81,,0.00,0.00,0.81,,0.00,0.00,6097.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:10.947,0.95,,0.00,0.00,0.95,,0.00,0.00,7095.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:11.985,1.08,,0.00,0.00,1.08,,0.00,0.00,8123.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:12.953,1.21,,0.00,0.00,1.21,,0.00,0.00,9096.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:13.929,1.34,,0.00,0.00,1.34,,0.00,0.00,10083.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:14.995,1.49,,0.00,0.00,1.49,,0.00,0.00,11137.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:15.954,1.61,,0.00,0.00,1.61,,0.00,0.00,12102.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:16.946,1.74,,0.00,0.00,1.74,,0.00,0.00,13084.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:17.951,1.88,,0.00,0.00,1.88,,0.00,0.00,14099.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:18.968,2.01,,0.00,0.00,2.01,,0.00,0.00,15106.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:19.964,1.56,,0.00,0.00,2.15,,10.00,0.00,16101.00,-0.59,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:23:20.962,1.69,,0.00,0.00,2.28,,10.00,0.00,17098.00,-0.59,,0,0,0.00,,0.00,0.00,0.00,0.00
