Time,Total Power(uAh),,GPS time(ms),GPS Power(uAh),Sensors Power(uAh),,CPU-total time(ms),CPU-foreground time(ms),CPU-wakeup time(ms),CPU Power(uAh),,Net In(Byte),Net Out(Byte),TCP Power(uAh),,WiFi-On time(ms),WiFi-on Power(uAh),WiFi-scan time(ms),WiFi-scan Power(uAh)
'13:08:09.587,0.02,,0.00,0.00,0.02,,0.00,0.00,146.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:10.580,0.15,,0.00,0.00,0.15,,0.00,0.00,1126.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:11.563,0.28,,0.00,0.00,0.28,,0.00,0.00,2111.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:12.639,0.42,,0.00,0.00,0.42,,0.00,0.00,3151.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:13.529,0.55,,0.00,0.00,0.55,,0.00,0.00,4094.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:14.530,0.68,,0.00,0.00,0.68,,0.00,0.00,5091.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:15.542,0.81,,0.00,0.00,0.81,,0.00,0.00,6104.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:16.543,0.95,,0.00,0.00,0.95,,0.00,0.00,7103.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:17.547,1.08,,0.00,0.00,1.08,,0.00,0.00,8102.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:18.538,1.21,,0.00,0.00,1.21,,0.00,0.00,9102.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:19.567,1.35,,0.00,0.00,1.35,,0.00,0.00,10103.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:20.532,1.48,,0.00,0.00,1.48,,0.00,0.00,11091.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:21.535,1.61,,0.00,0.00,1.61,,0.00,0.00,12105.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:22.555,1.75,,0.00,0.00,1.75,,0.00,0.00,13097.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:08:23.555,1.88,,0.00,0.00,1.88,,0.00,0.00,14098.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
