Time,Total Power(uAh),,GPS time(ms),GPS Power(uAh),Sensors Power(uAh),,CPU-total time(ms),CPU-foreground time(ms),CPU-wakeup time(ms),CPU Power(uAh),,Net In(Byte),Net Out(Byte),TCP Power(uAh),,WiFi-On time(ms),WiFi-on Power(uAh),WiFi-scan time(ms),WiFi-scan Power(uAh)
'14:14:44.189,0.10,,0.00,0.00,0.10,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:45.290,0.24,,0.00,0.00,0.24,,0.00,0.00,0.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:46.247,0.37,,0.00,0.00,0.37,,0.00,0.00,36.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:47.270,0.51,,0.00,0.00,0.51,,0.00,0.00,36.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:48.347,0.65,,0.00,0.00,0.65,,0.00,0.00,37.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:49.220,0.77,,0.00,0.00,0.77,,0.00,0.00,37.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:50.252,-2.50,,0.00,0.00,0.91,,0.00,0.00,547.00,-3.41,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:51.306,-2.37,,0.00,0.00,1.04,,0.00,0.00,1543.00,-3.41,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:52.248,-2.23,,0.00,0.00,1.18,,0.00,0.00,2548.00,-3.41,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:53.224,-2.10,,0.00,0.00,1.30,,0.00,0.00,3519.00,-3.41,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:54.244,-1.97,,0.00,0.00,1.44,,0.00,0.00,4541.00,-3.41,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:55.215,83.99,,0.00,0.00,1.57,,2730.00,0.00,5514.00,82.42,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:56.307,84.13,,0.00,0.00,1.71,,2730.00,0.00,6574.00,82.42,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:57.222,84.25,,0.00,0.00,1.84,,2730.00,0.00,7517.00,82.42,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:58.255,84.39,,0.00,0.00,1.97,,2730.00,0.00,8539.00,82.42,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:14:59.219,84.52,,0.00,0.00,2.10,,2730.00,0.00,9518.00,82.42,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:15:00.240,84.66,,0.00,0.00,2.24,,2730.00,0.00,10536.00,82.42,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:15:01.254,84.79,,0.00,0.00,2.38,,2730.00,0.00,11554.00,82.42,,0,0,0.00,,0.00,0.00,0.00,0.00
'14:15:02.263,84.93,,0.00,0.00,2.51,,2730.00,0.00,12555.00,82.42,,0,0,0.00,,0.00,0.00,0.00,0.00
